iter	Passed	Remaining
0	155	155233
1	177	88447
2	200	66484
3	220	54998
4	240	47878
5	251	41600
6	260	36884
7	267	33181
8	275	30281
9	282	27962
10	289	26062
11	297	24470
12	304	23124
13	311	21962
14	319	20977
15	326	20101
16	334	19327
17	342	18661
18	349	18044
19	356	17471
20	363	16959
21	370	16491
22	378	16068
23	385	15681
24	392	15326
25	400	15012
26	407	14699
27	415	14420
28	422	14144
29	429	13889
30	436	13650
31	443	13422
32	450	13210
33	457	13001
34	464	12801
35	471	12629
36	478	12457
37	485	12291
38	493	12150
39	500	12004
40	507	11861
41	513	11722
42	520	11591
43	527	11471
44	535	11364
45	542	11249
46	549	11132
47	555	11022
48	562	10917
49	569	10815
50	576	10718
51	583	10628
52	590	10545
53	596	10456
54	603	10368
55	610	10292
56	617	10213
57	624	10139
58	631	10064
59	637	9986
60	644	9914
61	651	9850
62	658	9787
63	665	9730
64	671	9664
65	679	9609
66	685	9547
67	692	9488
68	698	9428
69	705	9374
70	712	9318
71	719	9270
72	725	9216
73	733	9173
74	740	9130
75	746	9081
76	753	9035
77	760	8993
78	767	8946
79	773	8899
80	780	8859
81	788	8823
82	795	8785
83	801	8741
84	808	8707
85	815	8670
86	822	8631
87	829	8594
88	835	8555
89	842	8523
90	849	8487
91	856	8457
92	864	8428
93	871	8399
94	878	8367
95	885	8334
96	891	8302
97	898	8268
98	905	8237
99	912	8210
100	918	8179
101	925	8148
102	932	8120
103	939	8091
104	945	8061
105	952	8030
106	959	8004
107	965	7974
108	972	7946
109	978	7918
110	985	7893
111	992	7866
112	999	7844
113	1006	7818
114	1012	7790
115	1018	7763
116	1025	7737
117	1031	7710
118	1038	7685
119	1044	7659
120	1051	7636
121	1057	7613
122	1065	7593
123	1071	7569
124	1077	7545
125	1084	7523
126	1091	7505
127	1098	7484
128	1105	7462
129	1111	7440
130	1118	7418
131	1125	7399
132	1131	7378
133	1138	7356
134	1145	7339
135	1152	7320
136	1158	7299
137	1165	7281
138	1172	7259
139	1178	7241
140	1185	7223
141	1192	7203
142	1199	7186
143	1205	7168
144	1212	7152
145	1220	7136
146	1226	7117
147	1232	7097
148	1239	7079
149	1246	7061
150	1253	7045
151	1259	7028
152	1267	7014
153	1273	6995
154	1280	6979
155	1286	6962
156	1293	6946
157	1300	6928
158	1307	6914
159	1314	6901
160	1321	6885
161	1328	6869
162	1334	6854
163	1341	6839
164	1348	6824
165	1355	6810
166	1362	6793
167	1369	6779
168	1375	6763
169	1381	6747
170	1389	6735
171	1396	6720
172	1402	6705
173	1410	6694
174	1416	6678
175	1423	6664
176	1430	6652
177	1437	6636
178	1443	6620
179	1450	6606
180	1456	6591
181	1463	6578
182	1470	6567
183	1477	6552
184	1484	6539
185	1491	6527
186	1498	6515
187	1505	6501
188	1512	6489
189	1519	6475
190	1526	6465
191	1532	6450
192	1539	6435
193	1546	6423
194	1553	6412
195	1559	6397
196	1566	6384
197	1573	6373
198	1580	6360
199	1586	6346
200	1593	6334
201	1599	6320
202	1606	6307
203	1613	6294
204	1620	6283
205	1627	6272
206	1634	6262
207	1641	6249
208	1647	6236
209	1654	6223
210	1661	6211
211	1667	6199
212	1675	6188
213	1682	6178
214	1688	6165
215	1695	6153
216	1701	6140
217	1708	6129
218	1715	6118
219	1722	6106
220	1729	6094
221	1735	6083
222	1742	6071
223	1749	6060
224	1755	6048
225	1763	6038
226	1770	6027
227	1777	6019
228	1784	6009
229	1791	5999
230	1798	5987
231	1805	5977
232	1812	5967
233	1819	5957
234	1826	5946
235	1833	5934
236	1840	5924
237	1847	5915
238	1854	5905
239	1861	5894
240	1868	5885
241	1875	5875
242	1882	5864
243	1888	5852
244	1895	5841
245	1901	5829
246	1908	5819
247	1916	5810
248	1922	5799
